Satisfaction,Observation,5ghi,2ghi,5gcm,5gcs,Alph,Acppc,Tobl,Blp10al,Macppc,Po5co5,Rmph,Rsph,Stco,Trcpc,Tume,Umempd,Umegmpd,Waps,War,Eain,Eaua,strn
Unsatisfied,76,No,No,0,0,115935,3.33,19.65,1.69,8,No,3-Feb,2,32,10,2,1,1,103.61,3419,7,7,Yes
Unsatisfied,77,No,No,0,0,2901,1,0.04,0.13,3,Yes,3-Feb,1,8,3,0,0,0,65.67,591,3,9,No
Unsatisfied,78,No,No,0,0,4473,8,1.57,3.51,8,Yes,3-Feb,1,18,8,0,0,0,30.53,580,1,2,No
Somewhat Satisfied,79,No,No,0,0,21712,1.5,44.93,20.69,2,No,3-Feb,2,17,3,8,8,3,1220.83,21975,,,Yes
Satisfied,80,No,No,0,0,7228,0.25,17.71,24.5,1,Yes,3-Feb,1,6,1,0,0,0,659.43,4616,7,7,No
Unsatisfied,81,No,No,0,0,946,3,0.09,0.99,3,No,3-Feb,1,12,3,0,0,0,7.23,94,0,2,Yes
Unsatisfied,82,Yes,No,0,0,21366,1.67,9.02,4.22,4,Yes,3-Feb,2,18,5,1,1,1,119.47,2270,8,7,Yes
Satisfied,83,No,No,0,0,5046,0.67,1.73,3.42,2,No,3-Feb,1,5,2,0,0,0,209,1254,9,10,No
Somewhat Satisfied,84,No,No,0,0,16143,3,4.77,2.96,6,No,3-Feb,1,14,9,0,0,0,1438.2,21573,3,7,Yes
Satisfied,85,Yes,No,0,0,25872,1.67,1.87,0.72,4,No,3-Feb,3,19,5,0,0,0,268.4,5368,8,Don't know,Yes
Satisfied,86,Yes,No,0,0,10052,0,0,0,0,No,3-Feb,2,2,0,11,6,3,43,129,7,10,No
Satisfied,87,No,No,0,0,71290,1.4,3.56,0.5,4,No,3-Feb,2,21,7,4,1,1,2912.91,64084,7,7,Yes
Somewhat Satisfied,88,Yes,No,1,1,20163,2,10.39,5.15,5,No,3-Feb,4,8,6,0,0,0,1363.56,12272,5,7,No
Somewhat Satisfied,89,Yes,No,0,0,2757,0.33,0.05,0.17,1,No,3-Feb,2,6,1,6,6,3,211,1477,,,No
Unsatisfied,90,No,No,0,0,,1,,,3,Yes,3-Feb,5,6,3,6,3,3,136,952,5,Don't know,No
Satisfied,91,No,No,0,0,31284,2.33,106.71,34.11,5,No,3-Feb,1,28,7,0,0,0,70.17,2035,0,0,Yes
Somewhat Satisfied,92,No,No,0,0,21033,1,0.56,0.27,2,Yes,3-Feb,3,7,3,0,0,0,152.38,1219,,,No
Unsatisfied,93,No,No,0,0,38444,0.5,93.01,24.19,1,Yes,3-Feb,7,14,2,0,0,0,1471,22065,2,10,Yes
Unsatisfied,94,No,No,0,0,25212,5,1.22,0.48,6,No,3-Feb,2,12,10,2,2,2,1318,17134,2,Don't know,Yes
Somewhat Satisfied,95,Yes,No,0,0,14440,2.5,2.34,1.62,3,No,3-Feb,2,11,5,0,0,0,501.17,6014,4,,Yes
Unsatisfied,96,No,No,0,0,377,1,0,0,1,Yes,3-Feb,2,3,1,0,0,0,1.75,7,2,6,No
Unsatisfied,97,Yes,No,0,0,47080,1.2,84.15,17.87,5,No,3-Feb,4,11,6,8,2,2,921.5,11058,0,7,No
